Nome_Logradouro,Complemento
GENARO DE,
URSULINAS,
DAS URSULINAS,CASA
,CASA b
REDENTORISTAS,
CARMELITAS,FUNDOS
FRANCISCANOS,1
DOS FRANCISCANOS,
DOS JESUITAS,CASA ANDAR 1
REDENTORISTAS,
ALIOMAR BALEEIRO,
AVELAR BRANDAO VILELA,
DO IRAQUE,
JURACY TRINDADE,ANDAR 1
JURACY TRINDADE QUINTA,CASA
LUCIANO GOMES SEGUNDA,
LUCIANO GOMES SEGUNDA,2
RENICE,ANDAR 1
SEGUNDA VICENTE DE PAU DA LIMA,TERREO
ALEXANDRE FERREIRA,FUNDOS CASA 1
DA PAZ,ANDAR 1
1 JOAO SOUZA SANTOS,
DA FAVELA,ANDAR 1
DE PAU DA LIMA,ANDAR 1
,
AUXILIADORA,FRENTE
SENHORA AUXILIADORA,FRENTE TERREO
AUXILIADORA,QUITINETE QUARTO 7
DALVA,
LOPES,
GONZALES,ANDAR 101
ARGOLO,ANDAR 1
1 DE MAIO,
JAYME VIEIRA LIMA,
ARTUR GONZALES,
10 DE ABRIL,TERREO
SAO BENEEDITO,
13 DE MAIO,
13 DE,
DA REDENCAO,1
,CASA 4
,TRAVESSA_INTERNA SOBRADO 2 TERREO 1
,
AGDA FERREIRA,
MARCOS,1 FUNDOS
MARCOS,OUTROS
,CASA E
CARLOS BRANDAO DA SILVA,ANDAR 2 APARTAMENTO 203
CARLOS BRANDAO DA SILVA,
CARLOS BRANDAO DA SILVA,TERREO APARTAMENTO 004
AURELINO DE JESUS,CASA
ULISSES GUIMARAES,BLOCO 4 APARTAMENTO 303
GUIMARAES,5 304
GUIMARAES,6 APARTAMENTO
15 DE MARCO,TERREO
15 DE,CASA
15 DE MARCO,CASA
COSME E DAMIAO,CASA
IRENIO SOUZA,
SANTISSIMA TRINDADE,CASA
ULISSES GUIMARAES,198 1
ULISSES GUIMARAES,BLOCO 86 APARTAMENTO 2
ULISSES GUIMARAES,BLOCO 198 APARTAMENTO 4
GUIMARAES,
VIDA NOVA,TERREO
ANTONIO DE FREITAS,ANDAR FRENTE
GALO,CASA
MARIVALVA GONZALEZ,FUNDOS ANDAR 1
GONZALEZ,FUNDOS
SAO CRISTOVAO,
CRISTOVAO,CASA
,TERREO CASA
MARINA DE QUEIROZ,
SANTISSIMA TRINDADE,SOBRADO 102
MARINALVA NASCIMENTO,
JOSE CARLOS DE ALELUIA,CASA 3
SERGIO CARDOSO,TERREO
CARDOSO,CASA
SANTOS,CASA 2
SILVIO SANTOS,
CAVALCANTE,ANDAR 1
ANTONIO DE FREITAS,FUNDOS
BAIXA DA,LADO
VARGAS,1 CASA
NASCENTE DO SOL,
TRAVESSA NASCENTE DO SOL,
RUA PRAIA COSTA RICA,
SAMUEL,
NASCENTE DO SOL,
SANTOS,TERREO
MENDES,CASA E FRENTE SUBSOLO
ULYSSES GUIMARAES,CASA C FUNDOS ANDAR 1
ACM,GARAGEM
,
MONOEL BISPO DOS SANTOS,TERREO
,TERREO
OCEANO ATLANTICO,
OCEANO ATLANTICO,APARTAMENTO 303
OCEANO ATLANTICO,APARTAMENTO 04
MEIJON,
PORTO,APARTAMENTO 101
CARLOS MARIGHELLA,
PORTO,APARTAMENTO 202
HUMBERTO PORTO,
PORTO,
CARLOS MARIGHELLA,CASA ANDAR
MARIGHELLA,
CARLOS MARIGHELLA,APARTAMENTO 102
MARIGHELLA,APARTAMENTO 103
HUMBERTO PORTO,APARTAMENTO 204
HUMBERTO PORTO,APARTAMENTO 201
COLINAS DO,
COLINAS DO,CASA FUNDOS
COLINAS DO MAR,
SAO RAFAEL,APARTAMENTO 202
MARIGHELLA,APARTAMENTO 202
COLINA DO MAR,GARAGEM
CARLOS MARIGHELLA,
CARLOS MARIGHELLA,
CARLOS MARIGHELLA,
HUGO MEIJON,APARTAMENTO 003
AURISIO FERNANDES,
,
MICRONESIA,
GETULIO VARGAS,TERREO
KLESUS ROCHA,RUA_INTERNA
MICRONESIA,CASA
1 GETULIO,CASA
JORGE,TERREO
GUILHERME DE MORAES,CASA
JAIME VIEIRA LIMA,
COMODORO,
NOME,
COMODORO,
ACM QUADRA 10,CASA
12,CASA
OLIVEIRA,APARTAMENTO 002
CONJUNTO COLINA AZUL,
CONJUNTO COLINA AZUL,APARTAMENTO 001
DO CONJUNTO COLINA AZUL,APARTAMENTO 202
ATLATICA,TERREO
CIDADE MAE,
8 DE JANEIRO,
DA BOA PAZ,ANDAR 1
DA BOA,
DA BOA PAZ,
ALAMEDA DAS,
JOSE GUILHERME DE MORAES,TERREO
SEM DENOMINACAO,
2 SEM DENOMINACAO,
SENHORA DO CARMO,ANDAR 2
SENHORA DO CARMO,BOX
DENOMINACAO,ANDAR
GERALDO MAGELA,BARRACA
BALEEIRO KM 5,SITIO
ALIOMAR BALEEIRO  KM 5,GARAGEM
PAULOSOUTO,
LUIZ VIANA FILHO,EDIFICIO leme APARTAMENTO 1204
LUIZ VIANA FILHO,EDIFICIO leme APARTAMENTO 1104
LUIZ VIANA,leme APARTAMENTO
LUIZ VIANA FILHO,EDIFICIO copacaba APARTAMENTO 304
SILVEIRA,BARRACA
ARNALDO SILVEIRA,
ARNALDO SILVEIRA,
ARNALDO SILVEIRA,APARTAMENTO 302
SILVEIRA,APARTAMENTO 304
ARNALDO SILVEIRA,
LOPES,ANDAR 1
GONZALES,GARAGEM
BARAO DO RIO BRANCO,
DA BAVEIMA,
LOPES TROVAO,
MANOEL CORDEIRO,
MACHADO,
SIMONE MACHADO,
DA MURICOCA,
DA MURICOCA,
VILA DO BOSQUE,BLOCO 101
VILA DO BOSQUE,APARTAMENTO 401
,APARTAMENTO 102
B,
B,APARTAMENTO 202
LUIZ EDUARDO LOBO,1
LUIZ EDUARDO LOBO,
LUIZ EDUARDO,
MILTON SANTOS,SUBSOLO 7
MILTON SANTOS,TERREO
MILTON SANTOS,
MILTON SANTOS,APARTAMENTO 001
MILTON SANTOS,APARTAMENTO 301
SANTOS,APARTAMENTO 202
DA GRECIA,ANDAR 1
JOSE GOMES DE AGUIAR,
JOSE GOMES DE AGUIAR,TERREO
ANTONIO ROMUROS,
DIRETA DO IPIRANGA,
JOSE GOMES,
DA FRANCA,
GRECIA,APARTAMENTO 101
DA GRECIA,
,SUBSOLO 1
UNIDOS,
BARBOSA,
LINDOLFO BARBOSA,
RAMOS,
RIBEIRO,
RIBEIRO,
8 QUADRA,
ALTAIR HUMBERTO,TERREO
CASTO ALVES,BLOCO 05 APARTAMENTO 304
ALVES,22 APARTAMENTO
CASTO ALVES,18 APARTAMENTO
CASTO ALVES,BLOCO 11 APARTAMENTO 301
DIRETA DO YPIRANGA,EDIFICIO LIRIO APARTAMENTO 102
PAULO BRASIL,CASA 48E TERREO
I,BOX
,ANEXO 2
,
A,
DA PAZ DO DIREITO DE,
MAGALHAES,
ANGELO MAGALHAES,ANDAR 1
20 QD,
21 QD,
JOEL VASCONCELOS,CASA
2,
3,CASA
ADERVAL ALVES COQUEIRO,BARRACA
DERMEVAL SILVA PEREIRA,TERREO
MAURICIO GRABOIS,FUNDOS 4
,
GOES,
TELES DE MENEZES,
PEDREIRAS,
,
DO CARMO,ANDAR 1
SETE IRMAOS,
13 DE JUNHO,FUNDOS
OLARIA,BARRACA
DA MANGUEIRA,EDIFICIO 7
PINHO,SUBSOLO 3
ESPIRITO SANTO,
ESPIRITO SANTO,
BURI,SUBSOLO
DO CARMO,ANDAR 1
29 DE,FRENTE
IDEAL,A
ADILSON PEREIRA SILVA,
REGIONAL,
TRAVESSA 13 DE MAIO,TERREO
13 DE MAIO,
FULVIO,CASA
BENTO DE SOUZA,ANDAR
JOAO INACIO,
CHAVES,ANDAR
MATOS,CASA E
MEREGALLI,TERREO FUNDOS
2 SEGUNDA ETAPA,
SIMONE BARRADAS,
ANDRE,
SILVA,
JANIO QUADROS,TERREO
OSEAS LOPES,
BARRADAS,LADO
PRESIDENTE JANIO,TERREO
BALEEIRO,BLOCO E APARTAMENTO 01
BALEEIRO,BLOCO A APARTAMENTO 304
CAMPO,FRENTE
DO JARDIM ESPERANCZ,
SIMONE BARRADAS,CASA
BARRADAS,FUNDOS 02
SUELY SOARES,
DO RIO,
DO RIO,
DO RIO,CASA
DO RIO,
SAO JOSE,TERREO
SENHOR DO BONFIM,TERREO
DIRETA DE NOVA BRASILIA,
CIPRIANO QUADRA 3,
LINDOLFO BARBOSA,
BARBOSA,CASA E
VALDEMAR OLIVEIRA,CASA
PRINCIPAL DO MOSCOU 1,
01,
1A JOAO,
DO CAMPO,CASA
LARGO DO,TERREO CASA 3
BOA VISTA,
XAVIER,
MARIO COVAS,APARTAMENTO 101
6,
6,
HAMILTON CARVALHO,
ADALGISA SOUZA PINTO,APARTAMENTO 201
ADALGISA SOUZA PINTO,
ADALGISA SOUZA PINTO,
PARQUE DO,
DOS FRANCISCANOS,CASA
DOS FRANCISCANOS,CASA
3 DOS FRANCISCANOS,FUNDOS
NOSSA S,ANDAR 1
AYMORE MOREIRA,
ITACURABA,APARTAMENTO 103
MOREIRA,
,APARTAMENTO 204
ARITANA,
TAPITI,
,
PATAXO,
,ANDAR
,FUNDOS
,
SAO PAULO,CASA
2 RUBENS,CASA 5 ENTRADA FUNDOS
2 RUBENS ZARDIVAL,2
,
,
TERCEIRA JOAO,
2 DE JULHO DO JARDIM,
CAMPO DA,FRENTE
JOAO VI,
MATEUS,ANDAR 1
TRAVESSA SANTA VERONICA,
,
DA MATA ESCURA,
,
DIRETA DO CAMPO,
MANGABEIRA,
RITA DE MATA ESCURA,ANDAR
IRMAOS,CASA E
AGUA VIVA,RUA_INTERNA B BLOCO 31 ANDAR 3 APARTAMENTO 303
ALCIDES BARRETO,FUNDOS
LOBO,PREDIO
,QUADRA 3 11 APARTAMENTO
SUSSUARANA,QUADRA 2 APARTAMENTO 404
IDENTIFICAR,BLOCO 2 APARTAMENTO 202
,BLOCO XX APARTAMENTO 04
SUSSUARANA,BLOCO APARTAMENTO
CENTRAL,CASA B
JEQUITIBA,BLOCO 2
JEQUITIBA,APARTAMENTO 502
,7 APARTAMENTO
JEQUITIBA,APARTAMENTO 604
IMPERIAL,BLOCO 13 APARTAMENTO 303
BOSQUE IMPERIAL,BLOCO 16 APARTAMENTO 1.003
BOSQUE IMPERIAL,APARTAMENTO 203
AROEIRA,BLOCO 801
HAROLDO CAINO,CASA TERREO
MOISES MENDES,CASA
BISPO,
ALAMEDA DOIS,
ALAMEDA SETE,CASA
CAETANO VELOSO,
DOS FALCOES,TERREO
,CASA 3
ANA MARIA DO MENINO JESUS,APARTAMENTO 004
ARTEMIO VALENTE,APARTAMENTO 301
VALENTE,APARTAMENTO 02
ARTEMIO VALENTE,
J,TERREO
PROJETO PESQUISA ETAPA 3,
PROJETO PESQUISA ETAPA 3,
J,
,
,
BRANCO,TERREO CASA 3
QD 10 SETOR 01,FRENTE
CARLITO FERREIRA,
CONJUNTO DANIEL GOMES,
13 CONJUNTO DANIEL GOMES,TERREO
16,TERREO
6 DE,
6 DE,CASA
TRAVESSA SANTO ANTONIO,TERREO
TRAVESSA SANTO ANTONIO,
XII,ANDAR 1
LOBOS,
MIGUEL CALMON,TERREO
,
QUEIROZ,LOJA C
3 DA PAZ,E A
DOS OITIS,CASA
VALDOMIRO PEREIRA LIMA,DEPENDENCIA
DOIS DE JULHO,
BALEEIRO,
FILHAS DE MARIA,FUNDOS
GENARO DE CARVALHO,
SUSSUARANA,
,
MARIO LAGO,
MORADA DO,TERREO
POR DO SOL,TERREO
ANTONIO DE,ANDAR 1
ANTONIO DE,ANDAR 2
LINSMAR LINS,SUBSOLO FUNDOS 2
LINSMAR LINS,FUNDOS
ROMUROS,3
ARLENE BATISTA,TERREO
ARLENE BATISTA,TERREO
FONTE DA,
3 DE MAIO,
QUARTA TRAVESSA ANTONIO CARLOS DE OLIVEIRA,
QUARTA TRAVESSA DOUTORA ARMINDA DE,
TRAVESSA ANTONIO CARLOS OLIVEIRA,TERREO
3 DE MAIO,
3 DE,TERREO
,TERREO
10,ANDAR 1
,
,
9,
DOS ROMANOS,
12 DE JULHO,
12 DE,
3 RUBENS ZARDIVAL,CASA ANDAR 1 ALA B
WALDIR PIRES,
JANDAIRA,
5 DE AGOSTO,
,
SN MARINO,CASA
DAS  MANGABEIRAS,TERREO
DAS  MANGABEIRAS,
ULISSES GUIMARAES,FRENTE
FERNANDES,
ALBINO FERNANDES,
PAOLO,TERREO
SEXTA ALBINO FERNANDES,TERREO
TERCEIRA ALBINO FERNANDES,FUNDOS
SOLON DE CARVALHO,FUNDOS
GUIMARAES,
HORIZONTE,
TIRADENTES,SUBSOLO
,ANDAR SUBSOLO
,TERREO
HUMBERTO ALVES,FUNDOS
LAURO BENEDITO,
Q1  LOCAL F,
1 CAMINHO,
BELEM,ANDAR 1o
DE NOVA BRASILIA,
DIRETA DE NOVA BRASILIA,FUNDOS
LUCIANO GOMES,CASA
MARIA JOSE,FUNDOS
PRIMEIRA LUCIANO GOMES,CASA
QUINTA LUCIANO,TERREO
SEGUNDA VICENTE,
SEGUNDA VICENTE,
,
1 DE,
DIRETA DO,ANEXO
DIRETA DO CAMPO,
DIRETA DO,
APOLO 11,
ARLINDO CRUZ,
DE CAMPINAS PIRAJA,
GETULIO VARGAS,
LINS,TERREO
1 GETULIO VARGAS,
2 GETULIO VARGAS,ANDAR 1
2 GETULIO,LADO
2 GETULIO VARGAS,
3 GETULIO,
REGIS PACHECO,
PAO,TERREO
13 DE MAIO,ANDAR
13 DE,
PARACAINA,
PARACAINA,
SAO MARCOS,
DOS HUMILDES,
JARDIM,BLOCO 22 APARTAMENTO 104
BELO JARDIM,APARTAMENTO 404
BELO JARDIM,BLOCO 10
JARDIM,12 101
JARDIM,BLOCO APARTAMENTO
DO MOCAMBO,BLOCO 8
DO MOCAMBO ILHADO,BLOCO 2 APARTAMENTO 102
ILHA DO MOCAMBO,CASA 3
06 Q 12,
1 Q,
RUA 16,
DEZENOVE,
SILVA,
ALTO DA,FRENTE
FERREIRA DOS SANTOS,
MIRANDA,
3 TRAVESSA LIGIA MARIA,
TRAVESSA LIGIA MARIA,
OITO DE NOVEMBRO,FUNDOS
ROSA,
GERSINA DE BRITO,
HELIO DOS,TERREO
1 TRAVESSA GERSINA DE BRITO,
1 TRAVESSA GERSINA DE BRITO,
15 DE NOVEMBRO,
15 DE NOVEMBRO,TERREO
BARTOLOMEU DIAS,SUBSOLO
RAPOSO TAVARES,CASA 66E ANDAR 2
RAPOSO TAVARES,
TERCEIRA TRAVESSA RAPOSO TAVARES,
DOS ORATORIANOS,FUNDOS 5
ROMANOS,
DOS ROMANOS,ANDAR 2
OSWALDO CRUZ,FRENTE 1
OSWALDO CRUZ,FRENTE 1
CRUZ,
MIGUEL,ANDAR 1
OLDACK ELIAS,
ALMIRO NONATO,
GONZALES,
DA MANGUEIRA DE PAU DA,CASA
BOM SOSSEGO,
NOSSA SENHORA DO CARMO,SUBSOLO
ALEGRIA,
JOSE GUERRA,
GUERRA,SUBSOLO
JOSE GUERRA,
LACIR,
SAO JORGE,
PEDREIRAS,
EDSON ARANTES,ANDAR 1
URBANO,LOJA
AVELAR BRANDAO,
DO PARAISO,CASA 1
CAMPINAS,
CAMPINAS,
CAMPINAS,FUNDOS
INDAIA,ANDAR 1
EUGENIO PEREIRA DE JESUS,
MARINALVA GONZALEZ,TERREO
JOTA SILVESTRE,CASA 201
PEDRO II,TERREO
SILVESTRE,CASA
SEGUNDA SILVIO SANTOS,TERREO
CARDOSO,
SILVIO SANTOS,
TERCEIRA SILVIO SANTOS,CASA 1
SANCHES,
,
GONZALES,TERREO
FERNANDA CIDREIRA,
FERNANDA CIDREIRA,TERREO
MACHADO,
MACHADO,CASA
SANTA MONICA,FUNDOS 2
ANTONIO,
JOSE,
OLIVEIRA,
PESSOA,
2 DOM AVELAR,CASA
IZABEL,TERREO
SANTO ANTONIO 1,ANDAR 1
ANTONIO CARLOS MAGALHAES,
GARRINCHA,
DOIS DE JULHO,CASA
DIRETA DO HORIZONTE,CASA
DO MANDU,
DO MANDU,CASA
DOMINGOS,CASA
JORGE,1 1
,APARTAMENTO SUBSOLO
RAFAEL,CASA
FERNANDES,
GUILHERME SANTOS,TERREO
UGO,CASA
FALCOES,CASA
BEIJA FLOR,CASA
UGO,CASA
PRIMEIRA DO SOSSEGO,
NOVO,
UNIAO,
UNIAO,
DESIANE REIS SILVA,
MARIA LUCIA,ANDAR 1
LUCIA,
LUIS,TERREO
MARU,
RUA JOAO DO CARMO,
2 OSORIO VALENTE,
2 OSORIO,
ARENA,ANDAR 1
CASTELO BRANCO,TERREO
EVANGELISTA,
NOVO HORIZONTE,FUNDOS
DO BOM FIM,
INDEPENDENCIA,TERREO
INDEPENDENCIA DO JOCELIA 2,
RICARDO SOZA,
2 DO BOM FIM,
AYRTON SENA,
SAO LUIS,
29 DE,ANDAR 1 CASA 1
2 DA INDEPENDENCIA DOJOCELIA 2,
DAS PEDREIRAS,TERREO
PAULO,
APOSTOLO PAULO,FRENTE
BINO,ANDAR 1
,LADO
ITAZIL BENICIO,TERREO FRENTE CASA 01
ANGELO DE BARROS,
PATRIARCA,1 05
PATRIARCA,TERREO
PATRIARCA,2 CASA
PATRIARCA,ANDAR 2 CASA 6
DEODORO,
EULINA CARVALHO,
SEGUNDA SAO VICENTE,
1 TRAVESSA DA EMBASA,
DA MANGUEIRA DO CALABETAO,
SEGUNDA JARDIM SANTO INACIO,
AMELIA,
ELIZIARIO DA,CASA
ELIZIARIO DA,
ADEMIRO,CASA
ABELARDO MAGALHAES SEGUNDA,CASA
ITAIR PINTO DE SANTANA,CASA
ITAIR PINTO DE SANTANA,TERREO
PINTO DE SANTANA,CASA
ITAIR PINTO DE SANTANA PRIMEIR,FUNDOS
AVELAR BRANDAO VILLELA,TERREO FUNDOS
POJUCA,ANDAR
RIO SAO FRANCISCO,
RIO J0ANES,
PARAGUACU,
DE CAMPINAS,TRAVESSA_INTERNA CASA
DE CAMPINAS,TRAVESSA_INTERNA SUBSOLO CASA 10 FUNDOS
ESTACIO DE SA,FUNDOS
MIRANDA,TERREO
LOBATO CAMPINAS,FUNDOS CASA A
SEGUNDA JURACY,
VELHA DE CAMPINAS,TERREO LOJA A
FRANCISLAIDE,
AJUDA,
DA AJUDA,ANDAR 1
,
OTACILIO DAS VIRGENS,
DIAMANTE,
MAXIMINIANO NUNES,
TIRADENTES DE MARECHAL RONDON,3
JOEL LOPES,TERREO
CALMON,ANDAR 1
CALMON,FUNDOS
PAULO,CASA
LIGIA MARIA,
MARIA,
CAMPINAS DE,
CAMPINAS DE PIRAJA,APARTAMENTO 202
REPRESA DE PIRAJA,
,
CAMPINAS DE PIRAJA,FRENTE
DO ROCHA,FUNDOS
OITO DE,FUNDOS
OITO DE,FRENTE
24 DE AGOSTO,TERREO
DA LIBERDADE,4 ANDAR 1
LIBERDADE,ANDAR 1
,TERREO
,TERREO
CASTELO BRANCO,TERREO
LIDIO DOS,TERREO
OITO DE,FUNDOS CASA 2
CENTRAL,
LIRIO DOS,TERREO
MERCEDARIAS,TERREO
DAS MERCEDARIAS,FUNDOS
DOS MARISTAS,
JURACY TRINDADE PRIMEIRA,ANDAR 1
RODRIGUES QUINTA,ANDAR
ALEXANDRE FERREIRA,
FERREIRA,ANDAR 1
TEODORO SAMPAIO,
GETULIO VARGAS,
13 DE MAIO,
13 DE MAIO,70 CASA
CRUZ,TERREO
PRIMEIRA TV SAO DOMINGOS,
PRIMEIRA TV SAO DOMINGOS,
SEGUNDA TV SAO DOMINGOS,
MARTIM,CASA
TECEIRA TRAVESSA SAN MARTIM,CASA
RUA AGUIDA FERREIRA,TERREO
TERCEIRA AGUIDA,CASA
ANTONIO DASUSSUARANA 2,CASA
MARINA DE,
NOSSA SENHORA DAIS GRASSA,CASA
ULISSES GUIMARAES,CASA
ACM,TRAVESSA_INTERNA
BARBALHO,
DIRETA DE PITUACU,ANDAR
DIRETA DE,
PARAISO,CASA
ULISSES GUIMARAES,BLOCO 1 APARTAMENTO 101
ULISSES GUIMARAES,BLOCO 1 APARTAMENTO 001
ULISSES GUIMARAES,BLOCO 4 APARTAMENTO 204
ULISSES GUIMARAES,BLOCO 7 APARTAMENTO 302
ULISSES GUIMARAES,BLOCO 14 APARTAMENTO 404
ULISSES GUIMARAES,BLOCO 16 APARTAMENTO 001
ULISSES GUIMARAES,BLOCO 22 APARTAMENTO 102
ULISSES GUIMARAES,BLOCO 1 APARTAMENTO 302
GUIMARAES,BLOCO 4 APARTAMENTO 101
GUIMARAES,10 APARTAMENTO
OCEANO ATLANTICO,APARTAMENTO 01
OCEANO PACIFICO,APARTAMENTO 203
PACIFICO,SOBRADO 1
OCEANO PACIFICO,
OCEANO PACIFICO,APARTAMENTO 303
PACIFICO,
LESTE,RUA_INTERNA CASA ANDAR
SAO RAFAEL,ALAMEDA_INTERNA CASA 2 ANDAR 1
3 GETULIO VARGAS,
RIO AVE,
MARIA DE,
MIGUEL DE PAU DA LIMA,
OSCAR BARREIRA,
XANGO,
DO AMOR,ANDAR CASA
COLINA AZUL,
COLINA AZUL,
AZUL,
CARNEIRO,TERREO CASA
,ANDAR
MOCAMBO,CASA
MOCAMBO,TERREO CASA
3 HEIDE CARNEIRO,SUBSOLO CASA
3 HEIDE CARNEIRO,TERREO FRENTE
ARNALDO SILVEIRA,APARTAMENTO 201
ALTAIR HUMBERTO SANTOS,TERREO
ALTAIR HUMBERTO SANTOS,
VILMA SANTOS,ANDAR 1
VILMA SANTOS,
ALOISIO RIBEIRO,ANDAR E
ROQUE GARCES,CASA E
GARCES,FUNDOS
OSWALDO CRUZ,
17 QUADRA 3,TERREO
ANTONIO SOARES,CASA
ANTONIO SOARES,CASA
9,CASA
BRANCO,
BRANCO,
21,
CARLITO FERREIRA,
JOAO ALBERTO,
NASCER DO,TERREO
,
SACRAMENTO,TRAVESSA_INTERNA
,
1 QUADRA 01,
DIRETA,
43,ANDAR 1
ESPERANCA,
SETE IRMAOS,ANDAR 1
,ANDAR 2
IDEAL,FUNDOS
IDEAL,ANDAR 1
JOSE BONIFACIO,
OLAVO BILAC,CASA
AFLITOS,ANDAR 1
JOSE,TERREO
SANTO ANDRE,ANDAR 1
SIMONE BARRADAS,
ALIOMAR BALEEIRO,BLOCO 03
PARQUE DAS BANDEIRANTES,BLOCO 05 APARTAMENTO 301
DA VITORIA,BLOCO 13
MOREIRA,
POTY,
53 JD SANTO INACIO,
CAINO,5 BLOCO APARTAMENTO 12
CAINO,QUADRA 5 BLOCO 3 APARTAMENTO 03
CAINO,QUADRA 5 3 12
ARTDMIO VALENTE,
ARTDMIO VALENTE,APARTAMENTO 101
VIRGILINA ROSA,FUNDOS
ROSA,TERREO
VIRGILINA ROSA 1,SUBSOLO
RAMOS,
ULISSES GUIMARAES,APARTAMENTO
JOAO CALDAS,ANDAR 2
MONICA,
SEGURO,
FERNANDES,TERREO
BELO HORIZONTE,
,TERREO
NOVA DISNEILANDIA,TERREO
,CASA
,
ATAULFO ALVES,
ALVES,
LONDRES,FUNDOS
LONDRES,
AGUAS DE CHEIRO,APARTAMENTO 101
AGUAS DE CHEIRO,
SOARES,ANDAR 1
CASTELO BRANCO,ANDAR 1 FUNDOS 1
JOEL VASCONCELOS,TERREO FRENTE 2
JOEL VASCONCELOS SANTOS,FUNDOS 3 TERREO
JOEL VASCONCELOS,
BELA VISTA DE CASTELO BRANCO,
LEAL,
ANTONIO SOARES,
ANTONIO SOARES,TERREO
EDINIL DO ESPIRITO SANTO,
DO ESPIRITO SANTO,
LUCAS MOREIRA NEVES,TERREO
ALTO DA BOA VISTA,
CELIA MARTA,ANDAR 1
MARTA,ANDAR 1
MARIGUELA,TERREO
RETORNO,
DO RETORNO,
RETORNO,TERREO
PRIMEIRA TRAVESSA DA BAVEIMA,
SAO LOURENCO,APARTAMENTO 301
SAO LOURENCO,BLOCO APARTAMENTO
LOURENCO,BLOCO 16
SAO TEOFILO,BLOCO 13 APARTAMENTO 403
JARDIM DOS GIRASSOIS,BLOCO 10 APARTAMENTO 103
JARDIM DOS,BLOCO 9
JARDIM DOS,BLOCO 4 APARTAMENTO 304
JARDIM DAS ORQUIDEAS,BLOCO 9 APARTAMENTO 04
JARDIM DAS ORQUIDEAS,BLOCO 7 APARTAMENTO 02
DAS HORTENSIAS,BLOCO 2 APARTAMENTO 301
DAS HORTENSIAS,BLOCO 9 APARTAMENTO 301
UNIAO,
COSTA,
INDEPENDENCIA,
,
1 PROJETO PESQUISA,
24 QUADRA,ANDAR 1
BALEEIRO,BLOCO 33 APARTAMENTO 303
BALEEIRO,BLOCO 31 APARTAMENTO 403
ALIOMAR BALEEIRO,BLOCO 20 APARTAMENTO 304
ALIOMAR BALEEIRO,BLOCO 13
ALIOMAR BALEEIRO,BLOCO 201
ZERO,
DIOGO FERNANDES ROSA,TERREO
OCEANO CARNEIRO,
LUCAS,CASA
GONCALVES JUNIOR,
PRIMAVERA,
SIMONE BARRADAS,ANDAR 1
18 DE,SUBSOLO
JOAO HUPSEL,CASA 3
MARCOS,TERREO
RENATO SANTOS,
6 SANTA ISABEL,
DALVA SANTOS DE ARAUJO,
DALVA SANTOS DE ARAUJO,TERREO
JOAO NERI,
JUREMA SANTOS,
LUCIA,SUBSOLO
SANTA RITA DE CASSIA,
MAR AZUL,BLOCO 17
GERSINA DE BRITO,
REPRESA DE PIRAJA,TERREO
DO ABACATEIRO,
DO CAJUEIRO,CASA
GERSINA DE BRITO,
SONIA BARRADAS,TERREO
BALEEIRO,8 004
BALEEIRO,BLOCO 4
ADELINA LOPES,
ARTHUR GONZALES,
DO MOCAMBO,3 APARTAMENTO
DO MOCAMBO,BLOCO 4 APARTAMENTO 204
QUILOMBO DE ESCADA,FRENTE
QUILOMBO DE,
DA PALESTINA,FUNDOS
BELA VISTA,ANDAR 1
CASCATA,
LUCIA,
2  2 DE JULHO DA TEREZINHA,
PARAGUACU,FRENTE
MADEIRA,
DAVID FERREIRA,
CURRALINHO,
VALE,
DA CABACEIRAS,
CABACEIRAS,
DO CURRALINHO,
ESMERALDA,FUNDOS
DA SERRINHA,FRENTE TERREO
LAGOA DOURADA,SOBRADO
SAO FELIX,SOBRADO
PALMEIRAS,
,QUADRA 34
PACAEMBU,TERREO
RIO GUAIBA,QUADRA 38
TRONCO,QUADRA LOTE
TRONCO,
TRONCO,TERREO
ANA PAULA,TERREO
BOA  ESPERANCA DE ILHA AMARELA,FUNDOS 1
VILA PRUDENTE,
ALTO DO LUSO,SUBSOLO
REAL,
1 REAL,ANDAR 1
2 REAL,
REAL,
BAGDA,LADO
ILHEUS,
DANIEL FERREIRA,CASA 3
DENOMINACAO,
PEIXOTO,
,
BARBACENA,ANDAR 1
NOROESTE,
,
ZAPATA,
DO JENIPAPEIRO,CASA 2 ANDAR 1
3 DO JENIPAPEIRO,
2 NOVA ESPERANCA,CASA
DOS FERROVIARIOS,FRENTE ANDAR 1
NOVA ESPERANCA,TERREO
,
DO JENIPAPEIRO,
DOS FERROVIARIOS,
LEANDRO GOMES,
SA OLIVEIRA,
24 DE OUTUBRO,
DA AURORA,
24 DE,TERREO
ANTONIO BALBINO,TERREO
DOS EVANGELICOS,
DOS EVANGELICOS,FUNDOS
AREIA,TERREO
AREIA,
SAMPAIO,SOBRADO
ESPERANCA,TERREO
DA ESPERANCA,
DA BELA VISTA,
ESPERANCA,FRENTE
BATISTA MACHADO,FRENTE 1
AFRANIO  PEIXOTO,CASA
BENFICA,SOBRADO
ARACAS,CASA
JEQUITIBA,CASA
DA PAZ DE SAO JOAO,ANDAR 2
ESTRADA DO CABRITO,
ESTRADA DO,FUNDOS
ANDRADE,
BARIRI DO MEIO,
PIRANI OU BARIRI DE CIMA 1,SOBRADO
